,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171
0,0,"{'id': 78716086, 'author': 'promobot', 'permlink': 're-crystalliu-2ld147igzki-20190804t120836519z', 'category': 'dtube', 'parent_author': 'crystalliu', 'parent_permlink': '2ld147igzki', 'title': 're-crystalliu-2ld147igzki-20190804t120836519z', 'body': 'You got a 93.35% upvote from @promobot courtesy of @crystalliu!\n', 'json_metadata': '{""app"":""postpromoter/postpromoter Steemium Fork - 1.0.0""}', 'last_update': '2019-08-04T12:08:36', 'created': '2019-08-04T12:08:36', 'active': '2019-08-04T12:08:36', 'last_payout': '2019-08-11T12:08:36', 'depth': 1, 'children': 0, 'net_rshares': 0, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': 0, 'root_author': 'crystalliu', 'root_permlink': '2ld147igzki', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/dtube/@crystalliu/2ld147igzki#@promobot/re-crystalliu-2ld147igzki-20190804t120836519z', 'root_title': 'IMG 1186', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': '9019981315846', 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}","{'id': 83324428, 'author': 'crystalliu', 'permlink': 'q3uvmz', 'category': 'dtube', 'parent_author': 'crystalliu', 'parent_permlink': '2ld147igzki', 'title': 'crystal liu', 'body': 'https://cdn.steemitimages.com/DQmf8y5Fn4YHzfph7QJV42eUkggQbTFLXbaQYGvDdgsjXCW/crystal%20liu.jpg', 'json_metadata': '{""image"":[""https://cdn.steemitimages.com/DQmf8y5Fn4YHzfph7QJV42eUkggQbTFLXbaQYGvDdgsjXCW/crystal%20liu.jpg""],""app"":""steemit/0.1"",""tags"":[""undefined""]}', 'last_update': '2020-01-20T01:56:51', 'created': '2020-01-09T20:03:06', 'active': '2020-01-20T01:56:51', 'last_payout': '2020-01-16T20:03:06', 'depth': 1, 'children': 0, 'net_rshares': -89854368281, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': -3, 'root_author': 'crystalliu', 'root_permlink': '2ld147igzki', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/dtube/@crystalliu/2ld147igzki#@crystalliu/q3uvmz', 'root_title': 'IMG 1186', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': -75714050137350, 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}","{'id': 83325339, 'author': 'crystalliu', 'permlink': 'q3uxms', 'category': 'dtube', 'parent_author': 'crystalliu', 'parent_permlink': '2ld147igzki', 'title': '', 'body': '劉亦菲,我好想把我身體內所有的精子都用在你一個女人身上好想淨係對你一個女人打飛機', 'json_metadata': '{""app"":""steemit/0.1""}', 'last_update': '2020-01-25T07:59:30', 'created': '2020-01-09T20:46:51', 'active': '2020-01-25T07:59:30', 'last_payout': '2020-01-16T20:46:51', 'depth': 1, 'children': 0, 'net_rshares': -90702839164, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': -3, 'root_author': 'crystalliu', 'root_permlink': '2ld147igzki', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/dtube/@crystalliu/2ld147igzki#@crystalliu/q3uxms', 'root_title': 'IMG 1186', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': -75714050137350, 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}","{'id': 83345069, 'author': 'crystalliu', 'permlink': 'q3w7l1', 'category': 'dtube', 'parent_author': 'crystalliu', 'parent_permlink': '2ld147igzki', 'title': '', 'body': 'https://cdn.steemitimages.com/DQmf8y5Fn4YHzfph7QJV42eUkggQbTFLXbaQYGvDdgsjXCW/crystal%20liu.jpg', 'json_metadata': '{""image"":[""https://cdn.steemitimages.com/DQmf8y5Fn4YHzfph7QJV42eUkggQbTFLXbaQYGvDdgsjXCW/crystal%20liu.jpg""],""app"":""steemit/0.1""}', 'last_update': '2020-01-10T13:17:45', 'created': '2020-01-10T13:17:45', 'active': '2020-01-10T13:17:45', 'last_payout': '2020-01-17T13:17:45', 'depth': 1, 'children': 0, 'net_rshares': -92574397862, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': -3, 'root_author': 'crystalliu', 'root_permlink': '2ld147igzki', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/dtube/@crystalliu/2ld147igzki#@crystalliu/q3w7l1', 'root_title': 'IMG 1186', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': -75714050137350, 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}","{'id': 83345110, 'author': 'crystalliu', 'permlink': 'q3w7lv', 'category': 'dtube', 'parent_author': 'crystalliu', 'parent_permlink': '2ld147igzki', 'title': '', 'body': 'https://cdn.steemitimages.com/DQmf8y5Fn4YHzfph7QJV42eUkggQbTFLXbaQYGvDdgsjXCW/crystal%20liu.jpg', 'json_metadata': '{""image"":[""https://cdn.steemitimages.com/DQmf8y5Fn4YHzfph7QJV42eUkggQbTFLXbaQYGvDdgsjXCW/crystal%20liu.jpg""],""app"":""steemit/0.1""}', 'last_update': '2020-01-10T13:18:36', 'created': '2020-01-10T13:18:36', 'active': '2020-01-10T13:18:36', 'last_payout': '2020-01-17T13:18:36', 'depth': 1, 'children': 0, 'net_rshares': -93197279440, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': -2, 'root_author': 'crystalliu', 'root_permlink': '2ld147igzki', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/dtube/@crystalliu/2ld147igzki#@crystalliu/q3w7lv', 'root_title': 'IMG 1186', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': -75714050137350, 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}","{'id': 83621528, 'author': 'crystalliu', 'permlink': 'q4e0cg', 'category': 'dtube', 'parent_author': 'crystalliu', 'parent_permlink': '2ld147igzki', 'title': '', 'body': 'https://cdn.steemitimages.com/DQmYZ9gRTPfWbhgCkteDTaiT7C12crfLbpTTjAs4jYPXWja/crystal%20liu.jpg', 'json_metadata': '{""image"":[""https://cdn.steemitimages.com/DQmYZ9gRTPfWbhgCkteDTaiT7C12crfLbpTTjAs4jYPXWja/crystal%20liu.jpg""],""app"":""steemit/0.1""}', 'last_update': '2020-01-20T04:57:27', 'created': '2020-01-20T04:57:27', 'active': '2020-01-20T04:57:27', 'last_payout': '2020-01-27T04:57:27', 'depth': 1, 'children': 0, 'net_rshares': 0, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': 0, 'root_author': 'crystalliu', 'root_permlink': '2ld147igzki', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/dtube/@crystalliu/2ld147igzki#@crystalliu/q4e0cg', 'root_title': 'IMG 1186', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': -75714050137350, 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}","{'id': 83646396, 'author': 'crystalliu', 'permlink': 'q4fk73', 'category': 'dtube', 'parent_author': 'crystalliu', 'parent_permlink': '2ld147igzki', 'title': '', 'body': 'https://cdn.steemitimages.com/DQmYZ9gRTPfWbhgCkteDTaiT7C12crfLbpTTjAs4jYPXWja/crystal%20liu.jpg', 'json_metadata': '{""image"":[""https://cdn.steemitimages.com/DQmYZ9gRTPfWbhgCkteDTaiT7C12crfLbpTTjAs4jYPXWja/crystal%20liu.jpg""],""app"":""steemit/0.1""}', 'last_update': '2020-01-25T08:32:06', 'created': '2020-01-21T00:19:21', 'active': '2020-01-25T08:32:06', 'last_payout': '2020-01-28T00:19:21', 'depth': 1, 'children': 2, 'net_rshares': 0, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': 0, 'root_author': 'crystalliu', 'root_permlink': '2ld147igzki', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/dtube/@crystalliu/2ld147igzki#@crystalliu/q4fk73', 'root_title': 'IMG 1186', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': -75714050137350, 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"{'id': 79131887, 'author': 'resteemsupport', 'permlink': 're-vk4dtgjqicy-20190816t054013', 'category': 'undefined', 'parent_author': 'crystalliu', 'parent_permlink': 'vk4dtgjqicy', 'title': '', 'body': 'Hello crystalliu!\n\nCongratulations! This post has been randomly Resteemed! For a chance to get more of your content resteemed join the [Steem Engine Team](https://steemit.com/steemit/@steemengineteam/more-followers-more-votes-steemengine)', 'json_metadata': '', 'last_update': '2019-08-16T05:40:18', 'created': '2019-08-16T05:40:18', 'active': '2019-08-16T05:40:18', 'last_payout': '2019-08-23T05:40:18', 'depth': 1, 'children': 0, 'net_rshares': -53881296756, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': -1, 'root_author': 'crystalliu', 'root_permlink': 'vk4dtgjqicy', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/undefined/@crystalliu/vk4dtgjqicy#@resteemsupport/re-vk4dtgjqicy-20190816t054013', 'root_title': 'IMG 1182', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': -5666607514043, 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}","{'id': 79136065, 'author': 'promobot', 'permlink': 're-crystalliu-vk4dtgjqicy-20190816t085923418z', 'category': 'undefined', 'parent_author': 'crystalliu', 'parent_permlink': 'vk4dtgjqicy', 'title': 're-crystalliu-vk4dtgjqicy-20190816t085923418z', 'body': 'You got a 90.75% upvote from @promobot courtesy of @crystalliu! </br> \nThis vote cost 14.999 STEEM and can be reversed for 3.000 STEEM. If you wish to reverse this vote, click [here](https://v2.steemconnect.com/sign/transfer?&to=promobot&amount=3.000STEEM&memo=reverse%20https://steemit.com/@crystalliu/vk4dtgjqicy).\n', 'json_metadata': '{""app"":""postpromoter/postpromoter Steemium Fork - 1.0.0""}', 'last_update': '2019-08-16T08:59:24', 'created': '2019-08-16T08:59:24', 'active': '2019-08-16T08:59:24', 'last_payout': '2019-08-23T08:59:24', 'depth': 1, 'children': 0, 'net_rshares': -53292218174, 'abs_rshares': 0, 'vote_rshares': 0, 'children_abs_rshares': 0, 'cashout_time': '1969-12-31T23:59:59', 'max_cashout_time': '1969-12-31T23:59:59', 'total_vote_weight': 0, 'reward_weight': 10000, 'total_payout_value': '0.000 SBD', 'curator_payout_value': '0.000 SBD', 'author_rewards': 0, 'net_votes': 0, 'root_author': 'crystalliu', 'root_permlink': 'vk4dtgjqicy', 'max_accepted_payout': '1000000.000 SBD', 'percent_steem_dollars': 10000, 'allow_replies': True, 'allow_votes': True, 'allow_curation_rewards': True, 'beneficiaries': [], 'url': '/undefined/@crystalliu/vk4dtgjqicy#@promobot/re-crystalliu-vk4dtgjqicy-20190816t085923418z', 'root_title': 'IMG 1182', 'pending_payout_value': '0.000 SBD', 'total_pending_payout_value': '0.000 STEEM', 'active_votes': [], 'replies': [], 'author_reputation': '9019981315846', 'promoted': '0.000 STEEM', 'body_length': 0, 'reblogged_by': []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
